begin,end,distance,xcoord,ycoord
"0","23503",49.60575053898784,-7.5750344,33.5358005
"0","23503",49.65821740632266,-7.5341251,33.5686517
"0","23503",49.68900526904322,-7.5618104,33.5821208
"0","23503",49.70073129181140,-7.5686654,33.5916344
"0","23503",49.71205447629678,-7.5799814,33.5912311
"0","23503",49.74121279219912,-7.5514363,33.5971796
"0","23503",49.74711500789324,-7.557026,33.5952845
"0","23503",49.76824299759270,-7.5756817,33.585367
"0","23503",49.81249967202040,-7.6025199,33.5501766
"0","23503",49.83048311668766,-7.6205018,33.5499409
"0","23503",49.88031608702678,-7.6282489,33.5007138
"0","23503",49.88102306833488,-7.628645,33.5001282
"0","23503",50.18239301003134,-7.3952577,33.690796
"0","23503",50.19514313499740,-7.3825081,33.6906803
"0","23503",50.23217636848206,-7.3563269,33.6644886
"0","23503",50.26954861300884,-7.3849945,33.6884647
"0","23503",50.28482736527728,-7.3718513,33.6962555
"0","23503",50.51172235752546,-7.5595396,33.5687626
"0","23503",50.51692197320740,-7.5557878,33.5651626
"0","23503",50.53356109705124,-7.5721188,33.5619753
"0","23503",50.61686150715550,-7.6479865,33.5963708
"0","23503",50.62992930117974,-7.65942,33.6026987
"0","23503",50.64807545773284,-7.6521466,33.586074
"0","23503",50.66077114996486,-7.6550815,33.5984258
"0","23503",50.67000143987634,-7.6471214,33.6030986
"0","23503",50.68594476380864,-7.6600738,33.5938021
"0","23503",50.69153027416490,-7.6648325,33.5967266
"0","23503",50.69597775359600,-7.6607405,33.5949843
"0","23503",50.70195914341862,-7.661431,33.6009257
"0","23503",51.58018670348680,-6.8643092,33.9695454
"0","23503",51.58827703132256,-6.8701924,33.9639919
"0","23503",51.59115720840218,-6.8729779,33.9632595
"0","23503",51.59542677085870,-6.87713,33.9622649
"0","23503",51.70374702569890,-6.8075856,34.0453122
"0","23503",51.72662408825620,-6.7854745,34.039442
"0","23503",51.72908397412346,-6.7858943,34.0370182
"0","23503",51.74070258807910,-6.7918568,34.0469902
"0","23503",51.75605189948548,-6.802134,34.0355893
"0","23503",51.81659089726130,-6.8481761,33.9962816
"0","23503",51.81963697391988,-6.8495212,33.9990146
"0","23503",51.82258120639032,-6.8468272,34.0002024
"0","23503",51.82492212254644,-6.8454694,33.9982955
"0","23503",51.83020850465332,-6.8504761,33.9965988
"0","23503",51.83160910725578,-6.8502014,33.9952254
"0","23503",51.83430851290332,-6.8475352,33.9956475
"0","23503",51.83512218004042,-6.8478566,33.996395
"0","23503",53.69693589838762,-8.5377154,33.2149044
"0","23503",54.83092350737702,-7.45357,33.547405
"0","23503",54.83889307512252,-7.4458162,33.5455631
"0","23503",54.84572705799198,-7.4394043,33.5431986
"0","23503",54.85187964691860,-7.4335762,33.5412269
"0","23503",56.07601936837762,-8.5989426,33.1664747
"0","23503",57.22177707663274,-7.5459512,33.6181049
"0","23503",57.22245714278394,-7.5452873,33.6182523
"0","23503",57.22360367775942,-7.5441514,33.6184081
"0","23503",57.23409813221594,-7.5348089,33.6136278
"0","23503",57.24018610516266,-7.5336907,33.6196122
